,oak_count,oak_score,oak_mentions_count,black_fruit_count,black_fruit_score,black_fruit_mentions_count,earth_count,earth_score,earth_mentions_count,red_fruit_count,red_fruit_score,red_fruit_mentions_count,spices_count,spices_score,spices_mentions_count,microbio_count,microbio_score,microbio_mentions_count,floral_count,floral_score,floral_mentions_count,tree_fruit_count,tree_fruit_score,tree_fruit_mentions_count,dried_fruit_count,dried_fruit_score,dried_fruit_mentions_count,vegetal_count,vegetal_score,vegetal_mentions_count,non_oak_count,non_oak_score,non_oak_mentions_count,citrus_fruit_count,citrus_fruit_score,citrus_fruit_mentions_count,acidity,fizziness,intensity,sweetness,tannin,user_structure_count,calculated_structure_count,tropical_fruit_count,tropical_fruit_score,tropical_fruit_mentions_count
1611255,102.0,13046.0,146.0,89.0,13291.0,135.0,64.0,5324.0,49.0,45.0,3588.0,34.0,43.0,2748.0,30.0,12.0,965.0,8.0,6.0,450.0,4.0,3.0,300.0,3.0,4.0,221.0,2.0,4.0,250.0,2.0,73.0,1217.0,1.0,1.0,100.0,1.0,3.3466864,,4.766704,1.7195184,3.476704,138.0,170.0,,,
1194532,73.0,9216.0,100.0,55.0,7764.0,79.0,47.0,4467.0,46.0,39.0,3185.0,30.0,23.0,1397.0,13.0,18.0,1297.0,11.0,1.0,100.0,1.0,3.0,300.0,3.0,32.0,3442.0,35.0,9.0,640.0,6.0,46.0,1492.0,9.0,4.0,400.0,4.0,2.2634823,,4.088044,2.7584164,2.9588053,96.0,118.0,2.0,200.0,2.0
84351,50.0,7070.0,77.0,39.0,6338.0,65.0,32.0,3289.0,34.0,24.0,1846.0,17.0,15.0,1037.0,10.0,13.0,723.0,4.0,4.0,400.0,4.0,2.0,200.0,2.0,2.0,116.0,1.0,1.0,100.0,1.0,27.0,781.0,4.0,,,,3.3411176,,4.793787,1.741003,3.3841987,70.0,110.0,,,
5926791,1.0,185.0,2.0,3.0,300.0,3.0,,,,,,,1.0,6.0,0.0,1.0,100.0,1.0,,,,,,,3.0,300.0,3.0,,,,1.0,9.0,0.0,,,,2.1250002,,4.2583337,2.0916667,2.9083333,11.0,2.0,,,
4382344,27.0,3362.0,38.0,13.0,2187.0,22.0,18.0,1256.0,11.0,5.0,413.0,4.0,13.0,612.0,7.0,4.0,265.0,2.0,1.0,25.0,0.0,,,,,,,1.0,25.0,0.0,18.0,355.0,1.0,2.0,200.0,2.0,3.3146155,,4.8636475,1.3636229,3.286253,41.0,44.0,,,
3474900,3.0,352.0,4.0,,,,4.0,491.0,5.0,,,,1.0,218.0,2.0,1.0,116.0,1.0,,,,3.0,400.0,4.0,,,,,,,2.0,23.0,0.0,,,,,,,,,,,,,
88177,75.0,5666.0,53.0,41.0,4270.0,44.0,74.0,8949.0,103.0,68.0,8097.0,80.0,33.0,1838.0,18.0,22.0,987.0,3.0,13.0,1400.0,14.0,3.0,300.0,3.0,2.0,233.0,2.0,2.0,110.0,1.0,40.0,950.0,7.0,4.0,700.0,7.0,4.1782513,,3.1043875,1.8388522,2.6541603,137.0,163.0,,,
4110288,16.0,1974.0,23.0,12.0,1879.0,19.0,11.0,1056.0,10.0,6.0,816.0,8.0,6.0,336.0,3.0,3.0,82.0,0.0,,,,1.0,100.0,1.0,2.0,105.0,1.0,1.0,100.0,1.0,10.0,152.0,0.0,,,,3.4100199,,4.72152,1.7995,3.3468022,23.0,21.0,,,
5509315,4.0,430.0,5.0,6.0,1200.0,12.0,3.0,400.0,4.0,3.0,300.0,3.0,3.0,18.0,0.0,1.0,100.0,1.0,,,,,,,,,,,,,3.0,52.0,0.0,,,,2.8630683,,4.850469,1.5131408,3.302166,26.0,10.0,,,
5089513,3.0,403.0,5.0,2.0,200.0,2.0,1.0,128.0,1.0,3.0,300.0,3.0,4.0,412.0,4.0,,,,2.0,200.0,2.0,,,,,,,,,,3.0,57.0,0.0,,,,,,,,,,,,,
